year,S&P 500,Int. Stocks,REIT,U.S. Corp Bond,Treasury 10yr,Tbill 3m,Gold,Commodities,U.S. Home Price,CPI
1/1/1976,23.64%,2.54%,48.97%,18.80%,14.49%,4.98%,-4.06%,7.17%,7.63%,5.04%
1/1/1977,-7.16%,18.06%,19.08%,3.80%,0.24%,5.26%,23.08%,-2.15%,14.20%,6.68%
1/1/1978,6.39%,32.62%,-1.64%,0.34%,-0.95%,7.19%,35.57%,13.63%,13.80%,8.99%
1/1/1979,18.19%,4.75%,30.53%,-2.21%,2.00%,10.07%,133.41%,23.68%,12.47%,13.25%
1/1/1980,31.48%,22.60%,28.02%,0.54%,-1.33%,11.43%,12.50%,9.59%,6.65%,12.35%
1/1/1981,-4.85%,-2.27%,8.58%,2.30%,4.34%,14.03%,-32.15%,-17.37%,4.76%,8.91%
1/1/1982,20.37%,-1.86%,31.64%,35.53%,35.88%,10.61%,12.00%,-8.20%,1.64%,3.83%
1/1/1983,22.31%,23.69%,25.47%,9.32%,2.05%,8.61%,-14.84%,18.63%,4.09%,3.79%
1/1/1984,5.97%,7.41%,14.82%,16.21%,13.37%,9.52%,-19.00%,-12.03%,5.13%,4.04%
1/1/1985,31.06%,56.14%,5.92%,25.35%,27.92%,7.48%,5.83%,-6.07%,6.01%,3.79%
1/1/1986,18.54%,69.46%,19.18%,16.30%,21.30%,5.98%,19.54%,-8.85%,7.44%,1.19%
1/1/1987,5.67%,24.64%,-10.67%,1.84%,-3.12%,5.78%,24.46%,11.22%,8.93%,4.33%
1/1/1988,16.34%,28.26%,11.36%,9.76%,6.85%,6.67%,-15.69%,8.30%,7.62%,4.41%
1/1/1989,31.23%,10.53%,-1.81%,14.11%,17.28%,8.11%,-2.23%,-8.70%,5.83%,4.64%
1/1/1990,3.14%,-23.45%,-17.35%,7.37%,6.93%,7.49%,2.49%,-3.17%,1.03%,6.25%
1/1/1991,30.00%,12.14%,35.68%,18.24%,17.83%,5.38%,-9.62%,-6.54%,0.08%,2.98%
1/1/1992,7.43%,-12.18%,12.18%,9.12%,6.78%,3.43%,-5.80%,-2.56%,0.12%,2.97%
1/1/1993,9.94%,32.57%,18.55%,12.43%,13.16%,3.00%,17.35%,11.61%,1.57%,2.81%
1/1/1994,1.29%,7.78%,0.81%,-3.34%,-7.76%,4.25%,-2.09%,4.56%,2.61%,2.60%
1/1/1995,37.11%,11.21%,18.31%,21.55%,24.81%,5.49%,1.10%,2.76%,2.08%,2.53%
1/1/1996,22.68%,6.05%,35.75%,3.39%,-0.55%,5.01%,-4.43%,-1.47%,2.10%,3.38%
1/1/1997,33.10%,1.78%,18.86%,10.39%,11.49%,5.06%,-21.74%,-4.37%,4.46%,1.70%
1/1/1998,28.34%,20.00%,-18.82%,8.72%,14.39%,4.78%,-0.61%,-16.55%,7.09%,1.61%
1/1/1999,20.87%,26.96%,-6.48%,-1.89%,-8.32%,4.64%,1.18%,7.28%,8.24%,2.68%
1/1/2000,-9.03%,-14.17%,25.89%,9.13%,16.66%,5.82%,-6.26%,11.06%,9.78%,3.44%
1/1/2001,-11.85%,-21.44%,15.50%,10.70%,5.50%,3.39%,1.41%,-16.34%,7.72%,1.60%
1/1/2002,-21.97%,-15.94%,5.22%,10.17%,15.21%,1.60%,23.96%,23.04%,10.63%,2.48%
1/1/2003,28.36%,38.59%,38.47%,8.31%,0.31%,1.01%,21.74%,8.86%,10.66%,2.04%
1/1/2004,10.74%,20.25%,30.41%,5.41%,4.51%,1.37%,4.97%,11.21%,14.60%,3.34%
1/1/2005,4.83%,13.39%,8.29%,1.97%,3.05%,3.15%,17.12%,16.88%,13.54%,3.34%
1/1/2006,15.61%,26.34%,34.35%,4.38%,1.88%,4.73%,23.92%,-7.40%,-1.74%,2.52%
1/1/2007,5.48%,10.97%,-17.83%,4.64%,10.13%,4.36%,31.59%,16.75%,-5.38%,4.11%
1/1/2008,-36.55%,-43.14%,-37.34%,-6.82%,19.91%,1.37%,3.41%,-36.01%,-11.99%,-0.02%
1/1/2009,25.94%,31.41%,27.45%,19.76%,-10.82%,0.15%,27.63%,23.46%,-3.85%,2.82%
1/1/2010,14.82%,7.52%,27.58%,9.52%,8.47%,0.14%,27.74%,17.44%,-3.85%,1.43%
1/1/2011,2.10%,-12.18%,7.28%,7.51%,16.04%,0.05%,11.65%,-8.26%,-3.88%,3.02%
1/1/2012,15.89%,17.22%,20.14%,10.37%,2.89%,0.09%,5.68%,-3.45%,6.49%,1.76%
1/1/2013,32.05%,22.62%,3.21%,-1.46%,-8.95%,0.06%,-27.79%,-3.60%,10.76%,1.51%
1/1/2014,13.52%,-5.04%,27.15%,7.51%,10.79%,0.03%,-0.19%,-17.42%,10.41%,0.72%
1/1/2015,3.66%,0.48%,1.08%,-0.35%,1.20%,0.04%,-10.01%,-21.91%,4.86%,0.74%
1/1/2016,11.96%,0.96%,9.28%,5.96%,0.69%,0.32%,9.12%,9.29%,5.85%,2.09%
