year,price
1966,1.55
1967,1.47
1968,1.3
1969,1.26
1970,1.33
1971,1.36
1972,1.57
1973,3.16
1974,4.48
1975,3.68
1976,3.15
1977,2.29
1978,2.82
1979,3.51
1980,3.88
1981,3.88
1982,3.52
1983,3.58
1984,3.46
1985,3.2
1986,2.71
1987,2.55
1988,3.33
1989,3.88
1990,2.98
1991,2.74
1992,3.38
1993,3.21
1994,3.52
1995,4.09
1996,4.77
1997,3.71
1998,2.9
1999,2.58
2000,2.57
2001,2.83
2002,3.41
2003,3.45
2004,3.57
2005,3.36
2006,4.04
2007,5.76
2008,8.01
2009,5.29
2010,5.12
2011,7.44
2012,7.6
2013,7.32
2014,6.33
2015,5.27
2016,4.11
